"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2022","47.50","47.32","47.69","47.22","89.40K","-1.37%"
"12/23/2022","48.17","47.50","48.17","47.22","48.00K","1.39%"
"12/22/2022","47.50","47.60","47.69","47.22","40.03K","-0.20%"
"12/21/2022","47.60","48.17","48.17","47.22","21.12K","-0.98%"
"12/20/2022","48.07","47.41","48.17","47.32","24.80K","-0.20%"
"12/19/2022","48.17","49.11","49.11","47.69","18.26K","-0.20%"
"12/16/2022","48.26","48.26","48.64","48.26","20.51K","0.20%"
"12/15/2022","48.17","48.92","49.58","48.17","17.00K","-1.92%"
"12/14/2022","49.11","49.49","49.87","48.92","14.44K","-0.76%"
"12/13/2022","49.49","47.41","49.49","47.22","113.23K","3.97%"
"12/12/2022","47.60","49.02","49.02","47.22","38.01K","-0.20%"
"12/09/2022","47.69","48.92","48.92","47.22","50.80K","-0.79%"
"12/08/2022","48.07","48.17","48.64","47.22","99.83K","-0.20%"
"12/06/2022","48.17","49.20","49.20","47.22","41.66K","0.00%"
"12/05/2022","48.17","49.11","49.20","47.22","43.17K","0.00%"
"12/02/2022","48.17","47.41","48.64","47.22","193.18K","0.99%"
"12/01/2022","47.69","49.11","49.11","47.22","39.89K","-1.75%"
"11/30/2022","48.54","47.32","48.54","47.32","22.11K","2.59%"
"11/29/2022","47.32","47.50","48.17","47.22","8.47K","-0.20%"
"11/28/2022","47.41","47.98","47.98","47.22","31.26K","-0.59%"
"11/25/2022","47.69","48.17","48.17","47.22","50.87K","0.60%"
"11/24/2022","47.41","47.69","47.69","47.13","5.59K","-0.20%"
"11/23/2022","47.50","47.32","47.60","47.22","74.61K","0.60%"
"11/22/2022","47.22","47.22","47.60","47.22","90.97K","0.00%"
"11/21/2022","47.22","47.22","47.69","47.13","183.40K","0.00%"
"11/18/2022","47.22","48.17","48.26","47.22","197.29K","-3.85%"
"11/17/2022","49.11","47.22","49.11","47.22","69.11K","4.00%"
"11/16/2022","47.22","48.17","48.17","47.22","36.63K","-1.96%"
"11/15/2022","48.17","48.64","49.02","48.17","21.17K","0.00%"
"11/14/2022","48.17","48.07","48.54","47.41","46.82K","1.59%"
"11/11/2022","47.41","47.69","47.79","47.13","31.41K","0.20%"
"11/10/2022","47.32","46.75","47.98","46.28","1.36M","1.21%"
"11/09/2022","46.75","47.22","47.22","46.18","31.41K","1.23%"
"11/08/2022","46.18","47.32","47.32","45.99","70.80K","-2.20%"
"11/04/2022","47.22","47.69","47.69","47.03","10.51K","0.81%"
"11/03/2022","46.84","47.22","48.07","46.75","15.85K","-0.60%"
"11/02/2022","47.13","48.35","48.35","46.94","30.23K","-0.20%"
"11/01/2022","47.22","47.32","48.17","47.13","35.40K","0.00%"
"10/31/2022","47.22","47.69","47.69","47.22","39.17K","-0.99%"
"10/28/2022","47.69","47.69","48.17","47.22","26.99K","0.60%"
"10/27/2022","47.41","47.22","47.69","46.75","89.05K","0.40%"
"10/26/2022","47.22","47.32","47.41","47.03","47.65K","0.00%"
"10/25/2022","47.22","48.17","48.17","47.13","37.92K","-0.60%"
